"latitude;";longitude
"41.1461337;";-8.6072333
"41.1461318507662;";-8.60187823610509
"41.1461126088614;";-8.61426830453728
"41.1461062;";-8.6073597
"41.1460804;";-8.6041678
"41.1460794;";-8.6069302
"41.1460770815385;";-8.60420869452739
"41.1459998321173;";-8.60164959915783
"41.145977245807;";-8.61426175041469
"41.1459722880743;";-8.61421829542232
"41.1459550727542;";-8.61425153911916
"41.1459377120088;";-8.61424779784612
"41.1459317;";-8.621912
"41.145929;";-8.602219
"41.1459268336783;";-8.61426883843775
"41.1459018895785;";-8.6142439954063
"41.1458995845554;";-8.61425824464169
"41.1458880841869;";-8.61424792331277
"41.1458653476892;";-8.61422841151341
"41.1458607906436;";-8.61422644208311
"41.1458534;";-8.6024669
"41.1457291804637;";-8.63725164905994
"41.1454467;";-8.6263285
"41.1454204566249;";-8.61215944959692
"41.1453581974295;";-8.61589615234044
"41.1453136098956;";-8.61587155557939
"41.1453001424434;";-8.61587317255889
"41.1452924485012;";-8.6159087602476
"41.1452901143111;";-8.61586963665899
"41.1452877409028;";-8.61589808848029
"41.1452809162354;";-8.61587678155648
"41.1452159071712;";-8.61736659220673
"41.1451870389667;";-8.61597334966866
"41.1451052110612;";-8.60629482415269
"41.1450903;";-8.6063329
"41.1450462;";-8.6063269
"41.1450375803093;";-8.60629020814492
"41.1450347833333;";-8.60625076666666
"41.1450314;";-8.644811
"41.1450307164724;";-8.64483660087794
"41.1450296054561;";-8.64480607900998
"41.1450289981822;";-8.60639400781002
"41.1450228630948;";-8.64477732200872
"41.1450028017715;";-8.64476333902923
"41.1449999523692;";-8.64482234929325
"41.1449998333333;";-8.64479333333333
"41.1449963904838;";-8.64474840533664
"41.1449940608986;";-8.64484437426769
"41.1449899;";-8.6447656
"41.1449886242087;";-8.64475342963735
"41.1449875414172;";-8.6448420722526
"41.1449874;";-8.6450504
"41.1449872539137;";-8.64486013891514
"41.1449868333333;";-8.64474683333333
"41.1449833495322;";-8.6448280101246
"41.1449811;";-8.6448034
